STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/20/1970,100,100,,,,0.82,0,0,0,,48,40,,0,,,,,90,,,,,,27.1,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/21/1970,100,100,,,,0,0,0,0,,52,42,,0,,,,,90,,,,,,17,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/22/1970,60,20,,,,0,79,0,0,,69,43,,642,,,,,315,,,,,,25.9,1,1,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/23/1970,90,100,,,,0.13,0,0,0,,58,49,,0,,,,,90,,,,,,15,,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/24/1970,90,100,,,,0.41,0,0,0,,62,47,,0,,,,,315,,,,,,19.9,1,1,1,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/25/1970,30,30,,,,0,74,0,0,,70,48,,600,,,,,315,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/26/1970,90,90,,,,0,22,0,0,,70,53,,180,,,,,225,,,,,,19,,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/27/1970,90,90,,,,0,23,0,0,,72,55,,192,,,,,90,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/28/1970,80,90,,,,0,9,0,0,,73,55,,78,,,,,270,,,,,,11,1,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/29/1970,30,30,,,,0,82,0,0,,83,53,,684,,,,,270,,,,,,13,1,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/30/1970,90,100,,,,0,41,0,0,,73,49,,342,,,,,135,,,,,,17,1,1,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/1/1970,40,40,,,,0,68,0,0,,81,54,,564,,,,,180,,,,,,17,1,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/2/1970,50,50,,,,0,75,0,0,,80,59,,624,,,,,180,,,,,,19,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/3/1970,100,100,,,,0,9,0,0,,64,52,,72,,,,,315,,,,,,16.1,1,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",5/4/1970,100,100,,,,0.03,0,0,0,,57,50,,0,,,,,360,,,,,,8.9,1,,,,,,,1,,,,,,,1,,,,,,
